pathogen_name,pathogen_type,frequency_hz,disease_count,associated_diseases,target_organs
Echinococcus granulosus (chist),Necunoscut,446.5,47,"Toxoplasmoza extrapulmonară; EMBOLIE PULMONARA; Boala pulmonară obstructivă cronică (BPOC); Hipertensiunea pulmonară primitivă; Cancer pulmonar legat de azbest; Proteinoza alveolară pulmonară (PAP); Fibroza pulmonară idiopatică; Transplant pulmonar și complicații; Infecții neurologice (e.g., meningită, abces cerebral); Carcinogeneza respiratorie (cancer pulmonar legat de expunerea profesională); Fibroza pulmonară idiopatică (FPI); CHIST; Sindromul Pulmonar cu Hantavirus; OPRESIUNE PULMONARĂ; Hipertensiunea pulmonară secundară; Pneumonie, bronșiectazii și abces pulmonar; Leziuni pulmonare acute legate de transfuzie (TRALI); Tromboembolismul pulmonar (TEP); Insuficiență cardiacă și cor pulmonar; Aspergiloză bronhopulmonară alergică (ABPA); Hipertensiune pulmonară; Boli pulmonare obstructive cronice (BPOC); Cancerul pulmonar; Hemosideroza pulmonară idiopatică; Boli pulmonare interstițiale (BPI); Eozinofilia pulmonară tropicală; Embolie pulmonară; Cord pulmonar cronic; Boală pulmonară obstructivă cronică (BPOC); Afectări Cardiopulmonare; Cordul pulmonar; Embolie pulmonară masivă; Edem pulmonar acut; Edem pulmonar; Hipertensiunea Pulmonară; Schistosomiaza pulmonară; INFARCT (cerebral); Hipertensiunea pulmonară; Cancer pulmonar; Stenoza pulmonară congenitală; Sindromul hepatopulmonar; Infecții extrapulmonare cu Legionella; Aspergiloza bronhopulmonară alergică (ABPA); Embolism pulmonar; Tromboembolie pulmonară și tromboză venoasă profundă; Infecții pulmonare (e.g., pneumonie, aspergiloză); Afecțiuni pulmonare datorate poluării atmosferice",ventr. cordis sin.; bronchi; renes; myocardium; mitrai valve; larynx; dura mater encephali; frontal cerebrum; pia mater encephali; ventr. cordis dext.; blood; endocardium; hepar; arteries; ovaria; occipital cerebrum; cerebrum totalis; pharynx; erythrocutes; pulma; cor
Treponema pallidum,Bacterie,"346,850",4,Sifilis; Neurosifilis; Boala cardiovasculară diabetică; Afecțiuni cardiovasculare legate de stresul termic,cutis; os; myocardium; blood; occipital cerebrum; cerebrum totalis; corpus amygdaloid.; bones; frontal cerebrum; arteries; cor
Treponema pallidum (sifilis),347,347.4,4,Sifilis; Neurosifilis; Boala cardiovasculară diabetică; Afecțiuni cardiovasculare legate de stresul termic,cutis; os; myocardium; blood; occipital cerebrum; cerebrum totalis; corpus amygdaloid.; bones; frontal cerebrum; arteries; cor
Treponema pallidum – sifilis,347,347.4,4,Sifilis; Neurosifilis; Boala cardiovasculară diabetică; Afecțiuni cardiovasculare legate de stresul termic,cutis; os; myocardium; blood; occipital cerebrum; cerebrum totalis; corpus amygdaloid.; bones; frontal cerebrum; arteries; cor
Eikenella corrodens,Bacterie,"379,500",33,"Infecții produse de Aeromonas și Plesiomonas; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; Endocardita bacteriană (streptococi viridans sau enterococi); Infecții provocate de Haemophilus influenzae tip b (Hib); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Infecții legate de schimbările climatice; Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; Infecții cauzate de Haemophilus ducreyi (chancre moale); Infecții prin zgârieturi de pisică (Boala zgârieturii de pisică); Infecții; GILLES DE LA TOURETTE (sindromul lui...); Infecții produse prin mușcături de câine; Endocardita gonococică; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; Infecții produse prin mușcături de pisică; Infecții cauzate de Haemophilus, Bordetella etc.; Sindromul de hipersensibilitate la medicamente (DRESS); Infecții de transmitere sexuală și ale aparatului reproducător; Infecții la gazda imunocompromisă; Infecții produse de arsuri termice; Infecții produse de mușcătura de om; Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Sinuzita fungică invazivă; Endocardita bacteriană; Endocardita Infecțioasă; Bisinoza (expunere la pulberi de bumbac); Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Infecții produse de mușcăturile șerpilor veninoși",bronchi; uterus; uterine cervix; prostata; renes; myocardium; mitrai valve; bone marrow; mucosa nasalis; dura mater encephali; corpus amygdaloid.; mem. max. sinus; blood; endocardium; hepar; auditory ossicle; vagina; tympanic cavity; membrana synovalis; testes; cerebrum totalis; pharynx; hypophysis; mem. frontal sinus; cochlea; tuba auditiva; nos. kpl. sinusitis; erythrocutes; medulla spinalis; cutis; lymph; pulma; cor
Dipylidium caninum (proglottid composite),Parazit,"439,550",17,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Expunere la clorură de vinil; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sindromul de hipersensibilitate la medicamente (DRESS); Afecțiuni dermatologice legate de expunerea la toxine; Prurit; GILLES DE LA TOURETTE (sindromul lui...); INCONTINENTA LA COPII; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Bisinoza (expunere la pulberi de bumbac); Sindromul Gilles de la Tourette; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; DINTI - MASEA DE MINTE INCLUSA; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; bronchi; medulla spinalis; cutis; vesies urinaria; blood; testes; pulma; cerebrum totalis; bone marrow; pharynx; teeth; hypophysis; hepar; corpus amygdaloid.
Dirofilaria immitis,Parazit,"408,150",34,"Infecții produse de Aeromonas și Plesiomonas; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; Deficit de zinc și vitamina A; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Deficitul de vitamine și minerale; Hipogonadism hipogonadotropic (deficit de LH și FSH); Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; Examen de frotiu sanguin și măduvă osoasă; NODULI; Coxiurile de ciment (silicoza și boli obstructive); GILLES DE LA TOURETTE (sindromul lui...); Insuficiență cardiacă și cor pulmonar; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; Deficitul de Carnitină și CPT; RĂU DE INIMĂ; Sindromul de hipersensibilitate la medicamente (DRESS); Sindromul de Ambliopie, Neuropatie Dureroasă și Dermatită Orogenitală (Sindromul Strachan); Hepatita toxică și indusă de medicamente; Infecții de transmitere sexuală și ale aparatului reproducător; Sindromul de ambliopie, neuropatie dureroasă și dermatită orogenitală (Sindromul Strachan); Infecțiile respiratorii recurente (legate de bronșiectazii și FC); MICOZĂ (... pe pielea capului, fire de păr și unghii); Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); Sindromul Gilles de la Tourette; Cancer de cap și gât; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Sindromul de neoplazie endocrină multiplă (MEN 1 și MEN 2); Hiperproducția de renină și aldosteronism secundar; Bisinoza (expunere la pulberi de bumbac); Tromboembolie pulmonară și tromboză venoasă profundă",bronchi; uterus; uterine cervix; nervus opticus; prostata; os; mama dextra; myocardium; gland. parathyreoid; colon; bone marrow; mucosa nasalis; larynx; pancreas; corpus amygdaloid.; petina et chorioidea; mamma sinistra; blood; hepar; vagina; muscle; ovaria; glandula thyreoidea; testes; cerebrum totalis; pharynx; hypophysis; gld. supraren. med.; nos. kpl. sinusitis; erythrocutes; medulla spinalis; cutis; lymph; pulma; gld. supraren. cort; bones; cor
Dirofilaria immitis (vierme inima caini),409,411.15,34,"Infecții produse de Aeromonas și Plesiomonas; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; Deficit de zinc și vitamina A; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Deficitul de vitamine și minerale; Hipogonadism hipogonadotropic (deficit de LH și FSH); Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; Examen de frotiu sanguin și măduvă osoasă; NODULI; Coxiurile de ciment (silicoza și boli obstructive); GILLES DE LA TOURETTE (sindromul lui...); Insuficiență cardiacă și cor pulmonar; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; Deficitul de Carnitină și CPT; RĂU DE INIMĂ; Sindromul de hipersensibilitate la medicamente (DRESS); Sindromul de Ambliopie, Neuropatie Dureroasă și Dermatită Orogenitală (Sindromul Strachan); Hepatita toxică și indusă de medicamente; Infecții de transmitere sexuală și ale aparatului reproducător; Sindromul de ambliopie, neuropatie dureroasă și dermatită orogenitală (Sindromul Strachan); Infecțiile respiratorii recurente (legate de bronșiectazii și FC); MICOZĂ (... pe pielea capului, fire de păr și unghii); Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); Sindromul Gilles de la Tourette; Cancer de cap și gât; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Sindromul de neoplazie endocrină multiplă (MEN 1 și MEN 2); Hiperproducția de renină și aldosteronism secundar; Bisinoza (expunere la pulberi de bumbac); Tromboembolie pulmonară și tromboză venoasă profundă",bronchi; uterus; uterine cervix; nervus opticus; prostata; os; mama dextra; myocardium; gland. parathyreoid; colon; bone marrow; mucosa nasalis; larynx; pancreas; corpus amygdaloid.; petina et chorioidea; mamma sinistra; blood; hepar; vagina; muscle; ovaria; glandula thyreoidea; testes; cerebrum totalis; pharynx; hypophysis; gld. supraren. med.; nos. kpl. sinusitis; erythrocutes; medulla spinalis; cutis; lymph; pulma; gld. supraren. cort; bones; cor
Dirofilaria immitis – vierme de inimă la câine,409,411.15,34,"Infecții produse de Aeromonas și Plesiomonas; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; Deficit de zinc și vitamina A; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Deficitul de vitamine și minerale; Hipogonadism hipogonadotropic (deficit de LH și FSH); Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; Examen de frotiu sanguin și măduvă osoasă; NODULI; Coxiurile de ciment (silicoza și boli obstructive); GILLES DE LA TOURETTE (sindromul lui...); Insuficiență cardiacă și cor pulmonar; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; Deficitul de Carnitină și CPT; RĂU DE INIMĂ; Sindromul de hipersensibilitate la medicamente (DRESS); Sindromul de Ambliopie, Neuropatie Dureroasă și Dermatită Orogenitală (Sindromul Strachan); Hepatita toxică și indusă de medicamente; Infecții de transmitere sexuală și ale aparatului reproducător; Sindromul de ambliopie, neuropatie dureroasă și dermatită orogenitală (Sindromul Strachan); Infecțiile respiratorii recurente (legate de bronșiectazii și FC); MICOZĂ (... pe pielea capului, fire de păr și unghii); Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); Sindromul Gilles de la Tourette; Cancer de cap și gât; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Sindromul de neoplazie endocrină multiplă (MEN 1 și MEN 2); Hiperproducția de renină și aldosteronism secundar; Bisinoza (expunere la pulberi de bumbac); Tromboembolie pulmonară și tromboză venoasă profundă",bronchi; uterus; uterine cervix; nervus opticus; prostata; os; mama dextra; myocardium; gland. parathyreoid; colon; bone marrow; mucosa nasalis; larynx; pancreas; corpus amygdaloid.; petina et chorioidea; mamma sinistra; blood; hepar; vagina; muscle; ovaria; glandula thyreoidea; testes; cerebrum totalis; pharynx; hypophysis; gld. supraren. med.; nos. kpl. sinusitis; erythrocutes; medulla spinalis; cutis; lymph; pulma; gld. supraren. cort; bones; cor
Otodectes cynotis (urechi nas gat),Parazit,"520,000",17,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Expunere la clorură de vinil; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sindromul de hipersensibilitate la medicamente (DRESS); Afecțiuni dermatologice legate de expunerea la toxine; Prurit; GILLES DE LA TOURETTE (sindromul lui...); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Bisinoza (expunere la pulberi de bumbac); Infecții produse de mușcătura de om; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; DINTI - MASEA DE MINTE INCLUSA; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Sindromul Gilles de la Tourette; Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; bronchi; cutis; membrana synovalis; blood; testes; pulma; cerebrum totalis; bone marrow; pharynx; teeth; hypophysis; hepar; corpus amygdaloid.
Balantidium sp. trophozoites – cobai,Necunoscut,-,14,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Expunere la clorură de vinil; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sindromul de hipersensibilitate la medicamente (DRESS); Afecțiuni dermatologice legate de expunerea la toxine; GILLES DE LA TOURETTE (sindromul lui...); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Bisinoza (expunere la pulberi de bumbac); Sindromul Gilles de la Tourette; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; Balantidioza; Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; bronchi; cutis; blood; tumica mucosa coli; colon; pulma; cerebrum totalis; testes; bone marrow; pharynx; hypophysis; hepar; corpus amygdaloid.
Candida albicans – drojdie de bere,386,388.4,20,"Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; ENTERITA; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; Candidoza; GILLES DE LA TOURETTE (sindromul lui...); MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; DINTI - MASEA DE MINTE INCLUSA; Sindromul de hipersensibilitate la medicamente (DRESS); Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; CANDIDOZA; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; FLATULENTA; Orhita virală (de exemplu, cauzată de oreion); Bisinoza (expunere la pulberi de bumbac)",bronchi; parotid gland; colon; bone marrow; corpus amygdaloid.; tongue; blood; ileum; submandibular gland; hepar; auditory ossicle; vagina; duodenum; tympanic cavity; testes; cerebrum totalis; pharynx; teeth; hypophysis; ventriculus; cochlea; tuba auditiva; erythrocutes; cutis; pulma; jejunum
Caulobacter vibrioides,Necunoscut,-,16,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Expunere la clorură de vinil; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sindromul de hipersensibilitate la medicamente (DRESS); Afecțiuni dermatologice legate de expunerea la toxine; GILLES DE LA TOURETTE (sindromul lui...); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Bisinoza (expunere la pulberi de bumbac); Infecții produse de mușcătura de om; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; DINTI - MASEA DE MINTE INCLUSA; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Sindromul Gilles de la Tourette; Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; bronchi; cutis; membrana synovalis; blood; testes; pulma; cerebrum totalis; bone marrow; pharynx; teeth; hypophysis; hepar; corpus amygdaloid.
Clinostomum metacercaria,Necunoscut,-,27,"Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Anemia imunohemolitică cu anticorpi la rece; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; Intoxicație cu monoxid de carbon; GILLES DE LA TOURETTE (sindromul lui...); Dermatitis de Contact cu Iritant; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; DINTI - MASEA DE MINTE INCLUSA; Sindromul de hipersensibilitate la medicamente (DRESS); Miozita cu Corpi de Incluziune; Intoxicația cu gaz de ardere (fum sau gaz toxic); Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Intoxicație cu inhibitori de monoaminooxidază (IMAO); Infecții produse de mușcătura de om; Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; Diabetul zaharat de tip II cu depuneri amiloidice; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Incontinența urinară la femei (asociată cu prolaps pelvin); Bisinoza (expunere la pulberi de bumbac); Intoxicația cu dioxid de azot; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară)",bronchi; uterus; renes; bone marrow; pancreas; corpus amygdaloid.; blood; vesies urinaria; hepar; lien; muscle; membrana synovalis; testes; cerebrum totalis; pharynx; teeth; hypophysis; erythrocutes; cutis; lymph; pulma; cor
Dermato phagoides – acaro della polvere,Acar de praf,parazit,21,Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; Rinita alergică; Astm; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată); GILLES DE LA TOURETTE (sindromul lui...); MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; RINITA; Sindromul de hipersensibilitate la medicamente (DRESS); ALERGIA LA SOARE; ECZEMA; Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ASTM; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Eczema; ALERGIE LA PRAF; Bisinoza (expunere la pulberi de bumbac),erythrocutes; bronchi; nos. kpl. sinusitis; cutis; blood; testes; pulma; cerebrum totalis; bone marrow; mucosa nasalis; pharynx; hypophysis; hepar; corpus amygdaloid.
Eikanella corrodens,382,384.3,15,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sindromul de hipersensibilitate la medicamente (DRESS); Afecțiuni dermatologice legate de expunerea la toxine; Sinuzita fungică invazivă; GILLES DE LA TOURETTE (sindromul lui...); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Bisinoza (expunere la pulberi de bumbac); Infecții produse de mușcătura de om; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; Expunere la clorură de vinil; Sindromul Gilles de la Tourette; Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; bronchi; nos. kpl. sinusitis; cutis; membrana synovalis; mem. max. sinus; blood; testes; pulma; cerebrum totalis; bone marrow; mucosa nasalis; pharynx; hypophysis; mem. frontal sinus; hepar; corpus amygdaloid.
Orzaiolo (orz la ochi),Necunoscut,altele,19,Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; GAT (senzatia de a avea ceva in...); Deficit de zinc și vitamina A; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată); GILLES DE LA TOURETTE (sindromul lui...); Sindromul de fază întârziată sau avansată a somnului; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; DINTI - MASEA DE MINTE INCLUSA; Sindromul de hipersensibilitate la medicamente (DRESS); Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Sindromul de schimbare a fusului orar; Bisinoza (expunere la pulberi de bumbac),erythrocutes; bronchi; hypothalamus; cutis; petina et chorioidea; blood; testes; pulma; cerebrum totalis; bone marrow; larynx; pharynx; teeth; hypophysis; hepar; corpus amygdaloid.
Pigeon tapeworm,Necunoscut,-,30,"Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Diareea secretorie; Afecțiuni dermatologice legate de expunerea la toxine; Diareea artificială (abuz de laxative, autoindusă); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Diareea inflamatorie; Diareea acută; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; GILLES DE LA TOURETTE (sindromul lui...); Diaree, Constipație și Malabsorbție; DIAREE; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; TENIA; DINTI - MASEA DE MINTE INCLUSA; Expunere la clorură de vinil; Diareea indusă de malabsorbția acizilor biliari (colecistectomie, boli ileale); Diareea cronică; Sindromul de hipersensibilitate la medicamente (DRESS); INTESTINE — DIAREE; Infecții produse de mușcătura de om; Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; CRAMPE; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Diareea osmotică; DIAREEA CALATORULUI; Bisinoza (expunere la pulberi de bumbac); Diareea datorată medicației (AINS, laxative, antibiotice)",bronchi; colon; bone marrow; corpus amygdaloid.; blood; tumica mucosa coli; ileum; hepar; ductuli biliferi; duodenum; muscle; membrana synovalis; testes; cerebrum totalis; pharynx; teeth; hypophysis; erythrocutes; ductus choledochus; cutis; vesica fellea; pulma; jejunum
Rhizobium meliloti,Necunoscut,-,28,"Infecții produse de Aeromonas și Plesiomonas; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; Infecții provocate de Haemophilus influenzae tip b (Hib); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Infecții legate de schimbările climatice; Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; Infecții cauzate de Haemophilus ducreyi (chancre moale); Infecții prin zgârieturi de pisică (Boala zgârieturii de pisică); Infecții; GILLES DE LA TOURETTE (sindromul lui...); Infecții produse prin mușcături de câine; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Expunere la clorură de vinil; Infecții produse prin mușcături de pisică; Infecții cauzate de Haemophilus, Bordetella etc.; Sindromul de hipersensibilitate la medicamente (DRESS); Infecții de transmitere sexuală și ale aparatului reproducător; Infecții la gazda imunocompromisă; Infecții produse de arsuri termice; Infecții produse de mușcătura de om; Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Bisinoza (expunere la pulberi de bumbac); Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Infecții produse de mușcăturile șerpilor veninoși",bronchi; uterus; uterine cervix; prostata; renes; bone marrow; mucosa nasalis; dura mater encephali; corpus amygdaloid.; blood; hepar; auditory ossicle; vagina; tympanic cavity; membrana synovalis; testes; cerebrum totalis; pharynx; hypophysis; cochlea; tuba auditiva; nos. kpl. sinusitis; erythrocutes; medulla spinalis; cutis; lymph; pulma
